,Date,State,Age,HospitalizationRate,DeathRate,CaseRate,Population,Hospitalizations,Deaths,Cases
984,200913,Texas,0-4 yr,6.576,0.09864,939.4285526,1903554,125.177711,1.877665666,17882.52979
985,200913,Vermont,0-4 yr,6.576,0.09864,939.4285526,32255,2.1210888,0.031816332,303.0126797
986,200913,Washington,0-4 yr,6.576,0.09864,939.4285526,426450,28.043352,0.42065028,4006.193063
987,200913,West Virginia,0-4 yr,6.576,0.09864,939.4285526,103758,6.82312608,0.102346891,974.7322776
988,200913,Wisconsin,0-4 yr,6.576,0.09864,939.4285526,354854,23.33519904,0.350027986,3333.599796
989,200913,Wyoming,0-4 yr,6.576,0.09864,939.4285526,37268,2.45074368,0.036761155,350.106233
990,200913,Missouri,0-4 yr,6.576,0.09864,939.4285526,386777,25.43445552,0.381516833,3633.493573
991,200913,Montana,0-4 yr,6.576,0.09864,939.4285526,59722,3.92731872,0.058909781,561.0455202
992,200913,Nebraska,0-4 yr,6.576,0.09864,939.4285526,129410,8.5100016,0.127650024,1215.71449
993,200913,New Hampshire,0-4 yr,6.576,0.09864,939.4285526,72297,4.75425072,0.071313761,679.1786607
994,200913,New Jersey,0-4 yr,6.576,0.09864,939.4285526,547150,35.980584,0.53970876,5140.083326
995,200913,Ohio,0-4 yr,6.576,0.09864,939.4285526,724665,47.6539704,0.714809556,6807.709921
996,200913,Oklahoma,0-4 yr,6.576,0.09864,939.4285526,256624,16.87559424,0.253133914,2410.799129
997,200913,North Carolina,0-4 yr,6.576,0.09864,939.4285526,621871,40.89423696,0.613413554,5842.033735
998,200913,Rhode Island,0-4 yr,6.576,0.09864,939.4285526,58920,3.8745792,0.058118688,553.5113032
999,200913,South Carolina,0-4 yr,6.576,0.09864,939.4285526,295906,19.45877856,0.291881678,2779.825453
1000,200913,Alabama,0-4 yr,6.576,0.09864,939.4285526,302659,19.90285584,0.298542838,2843.265063
1001,200913,Alaska,0-4 yr,6.576,0.09864,939.4285526,51360,3.3774336,0.050661504,482.4905046
1002,200913,Arizona,0-4 yr,6.576,0.09864,939.4285526,463060,30.4508256,0.456762384,4350.117856
1003,200913,Arkansas,0-4 yr,6.576,0.09864,939.4285526,195486,12.85515936,0.19282739,1836.4513
1004,200913,Delaware,0-4 yr,6.576,0.09864,939.4285526,56010,3.6832176,0.055248264,526.1739323
1005,200913,Florida,0-4 yr,6.576,0.09864,939.4285526,1080506,71.05407456,1.065811118,10150.58188
1006,200913,Idaho,0-4 yr,6.576,0.09864,939.4285526,119166,7.83635616,0.117545342,1119.479429
1007,200913,Illinois,0-4 yr,6.576,0.09864,939.4285526,845118,55.57495968,0.833624395,7939.279796
1008,200913,Indiana,0-4 yr,6.576,0.09864,939.4285526,434204,28.55325504,0.428298826,4079.036353
1009,200913,Iowa,0-4 yr,6.576,0.09864,939.4285526,197946,13.01692896,0.195253934,1859.561243
1010,200913,Kansas,0-4 yr,6.576,0.09864,939.4285526,199200,13.099392,0.19649088,1871.341677
1011,200913,Louisiana,0-4 yr,6.576,0.09864,939.4285526,304940,20.0528544,0.300792816,2864.693428
1012,200913,Maine,0-4 yr,6.576,0.09864,939.4285526,69865,4.5943224,0.068914836,656.3317583
1013,200913,Massachusetts,0-4 yr,6.576,0.09864,939.4285526,368326,24.22111776,0.363316766,3460.159611
1014,200913,Michigan,0-4 yr,6.576,0.09864,939.4285526,614482,40.40833632,0.606125045,5772.619359
1015,200913,Mississippi,0-4 yr,6.576,0.09864,939.4285526,208491,13.71036816,0.205655522,1958.623984
1016,200913,Kentucky,0-4 yr,6.576,0.09864,939.4285526,278301,18.30107376,0.274516106,2614.439056
1017,200913,Hawaii,0-4 yr,6.576,0.09864,939.4285526,86581,5.69356656,0.085403498,813.3666352
1018,200913,Utah,0-4 yr,6.576,0.09864,939.4285526,255012,16.76958912,0.251543837,2395.655541
1019,200913,Virginia,0-4 yr,6.576,0.09864,939.4285526,506249,33.29093424,0.499364014,4755.847653
1020,200913,Nevada,0-4 yr,6.576,0.09864,939.4285526,188595,12.4020072,0.186030108,1771.715279
1021,200913,South Dakota,0-4 yr,6.576,0.09864,939.4285526,56494,3.71504544,0.055725682,530.7207665
1022,200913,North Dakota,0-4 yr,6.576,0.09864,939.4285526,41792,2.74824192,0.041223629,392.6059807
1023,200913,Pennsylvania,0-4 yr,6.576,0.09864,939.4285526,727275,47.825604,0.71738406,6832.229006
1024,200913,District of Columbia,0-4 yr,6.576,0.09864,939.4285526,32422,2.13207072,0.031981061,304.5815253
1025,200913,Texas,5-17 yr,1.096,0.01644,405.9259255,4767401.8,52.25072373,0.783760856,19352.11988
1026,200913,Vermont,5-17 yr,1.096,0.01644,405.9259255,102362.6,1.121894096,0.016828411,415.5163314
1027,200913,Washington,5-17 yr,1.096,0.01644,405.9259255,1133961.6,12.42821914,0.186423287,4603.04412
1028,200913,West Virginia,5-17 yr,1.096,0.01644,405.9259255,288565,3.1626724,0.047440086,1171.360147
1029,200913,Wisconsin,5-17 yr,1.096,0.01644,405.9259255,989356,10.84334176,0.162650126,4016.0525
1030,200913,Wyoming,5-17 yr,1.096,0.01644,405.9259255,94491,1.03562136,0.01553432,383.5634663
1031,200913,Missouri,5-17 yr,1.096,0.01644,405.9259255,1044762.6,11.4505981,0.171758971,4240.962254
1032,200913,Montana,5-17 yr,1.096,0.01644,405.9259255,163767.4,1.794890704,0.026923361,664.7743342
1033,200913,Nebraska,5-17 yr,1.096,0.01644,405.9259255,324981,3.56179176,0.053426876,1319.182132
1034,200913,New Hampshire,5-17 yr,1.096,0.01644,405.9259255,224423.4,2.459680464,0.036895207,910.9927635
1035,200913,New Jersey,5-17 yr,1.096,0.01644,405.9259255,1518074,16.63809104,0.249571366,6162.255935
1036,200913,Ohio,5-17 yr,1.096,0.01644,405.9259255,2042998.8,22.39126685,0.335869003,8293.061787
1037,200913,Oklahoma,5-17 yr,1.096,0.01644,405.9259255,660508.4,7.239172064,0.108587581,2681.174836
1038,200913,North Carolina,5-17 yr,1.096,0.01644,405.9259255,1626690.4,17.82852678,0.267427902,6603.158062
1039,200913,Rhode Island,5-17 yr,1.096,0.01644,405.9259255,176367.2,1.932984512,0.028994768,715.9201889
1040,200913,South Carolina,5-17 yr,1.096,0.01644,405.9259255,782308.4,8.574100064,0.128611501,3175.592613
1041,200913,Alabama,5-17 yr,1.096,0.01644,405.9259255,834044.4,9.141126624,0.137116899,3385.60245
1042,200913,Alaska,5-17 yr,1.096,0.01644,405.9259255,133090.6,1.458672976,0.021880095,540.2492498
